query,name,site,phone,phone.phones_enricher.carrier_type,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,h3,rating,reviews,reviews_link,photos_count,working_hours,logo,verified,place_id,email_1,email_1.emails_validator.status,email_1.emails_validator.status_details,email_1_full_name,facebook,instagram
"hvac, 36868, Phenix City, AL, US",Infinity Heating And Air Conditioning,,+1 334-468-1467,mobile,,,,,,,,,,32.45106,-85.028431,8944ee4c46fffff,,,,,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh5.googleusercontent.com/-J__9J3moyDc/AAAAAAAAAAI/AAAAAAAAAAA/aEXwq-hbz44/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJyWr6A-Nl5AoRQM6lQ4OSYxc,,,,,,
"hvac, 36868, Phenix City, AL, US",A+ Heat & Air,,+1 706-527-0487,mobile,,,,,,,,,,32.5725006,-85.327142,8944ee70e57ffff,5,2,"https://search.google.com/local/reviews?placeid=ChIJMYM2V8fOjIgR-bJ9HLrFkAY&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",1,,https://lh4.googleusercontent.com/-007muNtLNF0/AAAAAAAAAAI/AAAAAAAAAAA/YJjm7JmxSUk/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJMYM2V8fOjIgR-bJ9HLrFkAY,ndncounselor@hotmail.com,RECEIVING,SMTP validated,,https://www.facebook.com/APlusHeatandAirInc/,
"hvac, 36868, Phenix City, AL, US",Express Heating & Air Conditioning,http://www.expressairco.com/,+1 706-576-6800,,"5009 Summerville Rd #1, Phenix City, AL 36867",None,5009 Summerville Rd #1,Phenix City,36867,Alabama,Alabama,United States of America,US,32.5140646,-85.0237254,8944ee4dd37ffff,4.9,280,"https://search.google.com/local/reviews?placeid=ChIJ1-Ak_D8y84gRlPeVUDQnxOw&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",7,"{""Monday"": ""7:30AM-8PM"", ""Tuesday"": ""7:30AM-8PM"", ""Wednesday"": ""7:30AM-8PM"", ""Thursday"": ""7:30AM-8PM"", ""Friday"": ""7:30AM-8PM"", ""Saturday"": ""7:30AM-6PM"", ""Sunday"": ""7:30AM-6PM""}",https://lh3.googleusercontent.com/-8bV8GvsynGk/AAAAAAAAAAI/AAAAAAAAAAA/gYASjte7FB0/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJ1-Ak_D8y84gRlPeVUDQnxOw,expressairco@gmail.com,RECEIVING,SMTP validated,,https://facebook.com/Express-Heating-and-Air-Conditioning-377579306447309/,
"hvac, 36868, Phenix City, AL, US","2nd Mile Heating & Air, LLC",,+1 334-520-3836,mobile,,,,,,,,,,32.404119,-85.2926006,8944ee09307ffff,5,4,"https://search.google.com/local/reviews?placeid=ChIJVey8hTywrGoRCw_B4221FI4&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",11,,https://lh3.googleusercontent.com/-LNwdQjRuBA4/AAAAAAAAAAI/AAAAAAAAAAA/tn0-wYQZyj4/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJVey8hTywrGoRCw_B4221FI4,2milehvac@gmail.com,RECEIVING,SMTP validated,,https://www.facebook.com/2ndmilehvac/photos/,
"hvac, 36868, Phenix City, AL, US",Archie's Heating & Cooling,https://www.archiesheatingandcooling.com/,+1 334-550-8555,mobile,"1104 E 280 Byp Suite C, Phenix City, AL 36867",None,1104 E 280 Byp Suite C,Phenix City,36867,Alabama,Alabama,United States of America,US,32.4666911,-85.0262264,8944ee4c00fffff,4.7,12,"https://search.google.com/local/reviews?placeid=ChIJj8S3u_fPjIgRErOyODFNpNA&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",4,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh3.googleusercontent.com/-DfMeQcj93HY/AAAAAAAAAAI/AAAAAAAAAAA/TcGtqgcnYY8/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJj8S3u_fPjIgRErOyODFNpNA,info@archiesheatingandcooling.com,INVALID,Invalid SMTP,,,
"hvac, 36868, Phenix City, AL, US",Riley Heating & Air Conditioning,https://rileycomfort.com/,+1 334-378-3537,mobile,"1019 Knowles Rd, Phenix City, AL 36869",None,1019 Knowles Rd,Phenix City,36869,Alabama,Alabama,United States of America,US,32.4528295,-85.0077467,8944ee4c677ffff,4.9,1258,"https://search.google.com/local/reviews?placeid=ChIJ0fyenO7NjIgRkvUPW-qQvuE&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",52,"{""Monday"": ""6:30AM-7PM"", ""Tuesday"": ""6:30AM-7PM"", ""Wednesday"": ""6:30AM-7PM"", ""Thursday"": ""6:30AM-7PM"", ""Friday"": ""6:30AM-7PM"", ""Saturday"": ""6:30AM-7PM"", ""Sunday"": ""6:30AM-7PM""}",https://lh5.googleusercontent.com/-SEROb7MtX_k/AAAAAAAAAAI/AAAAAAAAAAA/sGSvT1ivR3A/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJ0fyenO7NjIgRkvUPW-qQvuE,joey@rileycomfort.com,RECEIVING,SMTP validated,,https://www.facebook.com/riley.heatingandair/,
"hvac, 36868, Phenix City, AL, US",Allen Mechanical & HVAC LLC,,+1 334-740-1690,mobile,,,,,,,,,,32.549692,-85.273639,8944ee7110fffff,5,11,"https://search.google.com/local/reviews?placeid=ChIJcTUW2XfHjIgR9_epaiiRNk0&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",7,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh6.googleusercontent.com/-8cNthefkkdE/AAAAAAAAAAI/AAAAAAAAAAA/3UlYqkLNfGg/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJcTUW2XfHjIgR9_epaiiRNk0,,,,,,
"hvac, 36868, Phenix City, AL, US",Affordable Heating & Cooling,https://www.myaffordableair.com/?utm_source=google,+1 706-332-9880,mobile,,,,,,,,,,32.467102,-85.182209,8944ee45d03ffff,4.8,78,"https://search.google.com/local/reviews?placeid=ChIJc2nQEfnOjIgRo9URajba-yg&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",35,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-in0f-bz3_0A/AAAAAAAAAAI/AAAAAAAAAAA/n9Y2mJbF030/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJc2nQEfnOjIgRo9URajba-yg,collinnorton@affordablehvac.com,INVALID,Invalid SMTP,,https://www.facebook.com/affordableheatingandairconditioning/,
"hvac, 36868, Phenix City, AL, US",Priority Indoor Comfort,http://www.priorityindoorcomfort.com/?utm_source=google,+1 334-297-9820,,,,,,,,,,,32.404119,-85.182209,8944ee4468fffff,4.7,34,"https://search.google.com/local/reviews?placeid=ChIJRYluOAPSjIgRWUdF_rSqPzE&q=hvac,+36868,+Phenix+City,+AL,+US&authuser=0&hl=en&gl=US",1,"{""Monday"": ""8AM-4:30PM"", ""Tuesday"": ""8AM-4:30PM"", ""Wednesday"": ""8AM-4:30PM"", ""Thursday"": ""8AM-4:30PM"", ""Friday"": ""8AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh3.googleusercontent.com/-KImWcgZgu2Y/AAAAAAAAAAI/AAAAAAAAAAA/2YkQT7kvkx4/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJRYluOAPSjIgRWUdF_rSqPzE,info@priorityindoorcomfort.com,RECEIVING,SMTP validated,,,
"hvac contractor, 36526, Daphne, AL, US",Captain Cool Cooling & Heating (Formerly Southeastern),https://captaincool.com/?utm_source=google,+1 251-278-3424,mobile,"19786-A AL-181 Suite A, Fairhope, AL 36532",None,19786-A AL-181 Suite A,Fairhope,36532,Alabama,Alabama,United States of America,US,30.5138415,-87.8524957,894450cd8a7ffff,5,336,"https://search.google.com/local/reviews?placeid=ChIJWbGrUqpqmogRvaY_u7s9kvI&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",24,"{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""8AM-8PM""}",https://lh4.googleusercontent.com/-iY4WPcJ4sVc/AAAAAAAAAAI/AAAAAAAAAAA/CirQXDq1eJY/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJWbGrUqpqmogRvaY_u7s9kvI,customerservice@captaincool.com,RECEIVING,SMTP validated,,https://www.facebook.com/CaptainCoolCoolingHeating,
"hvac contractor, 36526, Daphne, AL, US",Fairhope Air Conditioning & Heating,,+1 251-928-1987,landline,,,,,,,,,,30.7327891,-87.70195,89445040b17ffff,5,2,"https://search.google.com/local/reviews?placeid=ChIJp7ddLAIVmogRGl5ETcrcJls&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",3,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh3.googleusercontent.com/-rHrez9ujLMs/AAAAAAAAAAI/AAAAAAAAAAA/W9mG-ECvUfI/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJp7ddLAIVmogRGl5ETcrcJls,,,,,,
"hvac contractor, 36526, Daphne, AL, US",Strada Services,https://stradaservices.com/service-area/electric-daphne-al/?utm_source=localfx,+1 866-434-2218,,"27480 World Ct, Daphne, AL 36526",None,27480 World Ct,Daphne,36526,Alabama,Alabama,United States of America,US,30.6234539,-87.8881528,89445056abbffff,3.9,7,"https://search.google.com/local/reviews?placeid=ChIJqTNke6tDmogR7HWsjtfRECs&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",22,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-kj9xNiJE0fA/AAAAAAAAAAI/AAAAAAAAAAA/FisN3BgVDeI/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJqTNke6tDmogR7HWsjtfRECs,info@stradaservices.com,RECEIVING,SMTP validated,,https://www.facebook.com/StradaServicesLLCFL,
"hvac contractor, 36526, Daphne, AL, US",Climatemp Cooling & Heating Inc.,http://www.myclimatemp.com/,,,"15704 South Blvd, Silverhill, AL 36576",None,15704 South Blvd,Silverhill,36576,Alabama,Alabama,United States of America,US,30.5377372,-87.7554092,89445050ca3ffff,4.3,6,"https://search.google.com/local/reviews?placeid=ChIJT6tpyiRtmogRks2DTqLyc70&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",,FALSE,ChIJT6tpyiRtmogRks2DTqLyc70,r.englebert@myclimatemp.com,INVALID,Invalid DNS,Randy Englebert,,
"hvac contractor, 36526, Daphne, AL, US",Available Heating & Air Inc,,+1 251-929-3224,landline,"20673 Lawrence Rd, Fairhope, AL 36532",None,20673 Lawrence Rd,Fairhope,36532,Alabama,Alabama,United States of America,US,30.526371,-87.8363988,894450cdb8bffff,4.7,12,"https://search.google.com/local/reviews?placeid=ChIJY2oWzIVAmogRA-9D_MLsANw&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",9,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh5.googleusercontent.com/--A9PwRNxoGk/AAAAAAAAAAI/AAAAAAAAAAA/VQuHNnyVDuY/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJY2oWzIVAmogRA-9D_MLsANw,availableheating@att.net,RECEIVING,SMTP validated,,https://www.facebook.com/AvailableHeatingandAir/,
"hvac contractor, 36526, Daphne, AL, US",CCD Service Plus,http://www.ccdserviceplus.com/,+1 251-234-0485,mobile,,,,,,,,,,30.724592,-86.946353,894452c688fffff,5,12,"https://search.google.com/local/reviews?placeid=ChIJI1N6cENpmogRkOJxqKb6xeM&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",22,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh6.googleusercontent.com/-a_jxUm31ytU/AAAAAAAAAAI/AAAAAAAAAAA/NbXhbA3rsAU/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJI1N6cENpmogRkOJxqKb6xeM,,,,,https://facebook.com/CCD,
"hvac contractor, 36526, Daphne, AL, US",Apex HVAC Solutions,https://apexhvacs.com/,+1 251-465-0811,landline,,,,,,,,,,30.7327891,-87.821353,894450463cbffff,5,11,"https://search.google.com/local/reviews?placeid=ChIJBSFtBSBbagMREhR_v6JlYxY&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",8,"{""Monday"": ""7:30AM-8PM"", ""Tuesday"": ""7:30AM-8PM"", ""Wednesday"": ""7:30AM-8PM"", ""Thursday"": ""7:30AM-8PM"", ""Friday"": ""7:30AM-8PM"", ""Saturday"": ""7:30AM-8PM"", ""Sunday"": ""Closed""}",https://lh3.googleusercontent.com/-RxR95aGTSxk/AAAAAAAAAAI/AAAAAAAAAAA/Vz3PTcY-kOc/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJBSFtBSBbagMREhR_v6JlYxY,support@apexhvacs.com,INVALID,Cannot validate,,,
"hvac contractor, 36526, Daphne, AL, US",A/C PROS,,+1 251-487-7241,mobile,"9720 Twin Beech Rd, Fairhope, AL 36532",None,9720 Twin Beech Rd,Fairhope,36532,Alabama,Alabama,United States of America,US,30.5014922,-87.8570422,894450cdd57ffff,5,226,"https://search.google.com/local/reviews?placeid=ChIJgZ1aEyQ_mogRhvjcf_ozw4U&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",29,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh4.googleusercontent.com/-w-x0mh1FItk/AAAAAAAAAAI/AAAAAAAAAAA/YA9AG1A6NZ4/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJgZ1aEyQ_mogRhvjcf_ozw4U,dustin@ac-pros.net,RECEIVING,SMTP validated,,https://www.facebook.com/people/AC-PROS/100068180904148/,
"hvac contractor, 36526, Daphne, AL, US",Kool Air Services,http://koolairservices.net/,+1 251-200-1650,mobile,"2115 N Hickory St, Loxley, AL 36551",None,2115 N Hickory St,Loxley,36551,Alabama,Alabama,United States of America,US,30.6243541,-87.7532291,89445055223ffff,5,50,"https://search.google.com/local/reviews?placeid=ChIJq_MJD96i92QRVI47EF7P6CM&q=hvac+contractor,+36526,+Daphne,+AL,+US&authuser=0&hl=en&gl=US",26,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh6.googleusercontent.com/-o7HBkwlqZi4/AAAAAAAAAAI/AAAAAAAAAAA/NrZ0oDHrryM/s44-p-k-no-ns-nd/photo.jpg,TRUE,ChIJq_MJD96i92QRVI47EF7P6CM,slovoy@koolairservices.net,RECEIVING,Verified,,,
